SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1,bedrooms,accommodates,E27
"480170060621","6","5","5","6","5","12","48","60","18","37","66"
"480170060622","27","16","25","21","14","432","1242","1863","37","108","1782"
"480170060623","14","11","13","13","8","84","182","378","17","54","714"
"480170060624","2","0","2","1","0","40","198","274","2","5","282"
"480170060625","11","11","11","10","9","154","99","253","11","41","429"
"480170060626","25","11","25","22","7","950","2275","3475","42","112","3725"
"480170060628","20","17","20","16","15","1500","260","1900","27","75","2160"
"480170060629","20","12","19","16","10","260","300","760","24","58","900"
"480170060630","12","10","9","11","7","48","108","204","16","45","288"
"480170060631","10","9","9","9","7","310","390","770","12","35","680"
"480170060632","12","7","10","10","6","300","960","1356","14","37","1416"
"480170060633","2","0","2","1","0","4","22","28","2","4","64"
"480170060634","2","1","2","2","1","120","324","478","3","7","464"
"480170060635","2","1","2","2","0","30","106","152","5","11","164"
"480170060636","4","3","3","3","3","12","20","32","9","18","44"
"480170060639","4","3","4","4","3","0","0","0","5","14","0"
"480170060640","5","3","5","5","2","45","55","135","5","16","150"
"480170060641","12","11","12","12","6","60","84","156","23","54","1008"
"480170060642","31","29","30","27","22","248","589","1085","52","141","1581"
"480170060643","22","19","20","20","18","110","198","352","27","87","594"
"480170060644","13","10","12","12","5","13","78","130","24","63","260"
"480170060645","4","3","4","4","3","40","80","140","6","17","124"
"480170060646","3","3","3","1","3","162","795","1023","5","14","954"
"480170060647","6","5","5","4","3","24","30","72","6","21","90"
"480170060648","13","8","13","11","8","247","351","715","18","54","858"
"480170060649","5","3","5","4","2","135","560","755","6","14","775"
"480170060650","33","17","29","24","12","330","1188","1749","50","128","2541"
"480170060652","17","11","17","15","10","391","1479","2125","29","69","2771"
"480170060653","19","15","19","16","11","228","627","931","33","83","950"
"480170060654","17","12","14","12","3","561","1190","2159","24","59","1785"
"480170060655","13","11","13","10","8","273","507","845","19","45","650"
"480170060656","1","1","1","1","0","9","71","88","2","5","92"
"480170060659","11","5","11","5","1","506","1683","2310","13","36","2035"
"480170060660","12","11","12","11","9","36","132","192","23","67","60"
"480170060661","1","0","0","1","0","10","50","66","0","2","78"
"480170060662","11","10","11","9","8","110","22","132","18","41","187"
"480170060663","5","5","5","4","4","0","0","0","7","19","5"
"480170060664","5","4","4","5","2","35","55","90","8","19","100"
"480170060665","6","3","5","6","3","48","42","108","10","27","156"
"480170060666","6","6","6","5","4","24","30","90","9","20","192"
"480170060667","9","4","9","8","2","99","432","594","13","34","1026"
"480170060668","11","6","10","8","4","66","308","462","16","39","594"
"480170060669","9","6","7","7","5","27","72","126","13","33","162"
"480170060671","30","22","28","25","19","1110","1680","3030","40","113","3540"
"480170060673","15","8","15","9","8","330","1605","2145","25","52","2835"
"480170060674","15","12","15","13","8","240","930","1365","21","58","1740"
"480170060675","4","2","4","3","2","0","0","0","4","10","28"
"480170060676","1","1","0","1","1","0","3","3","6","12","5"
"480170060677","2","1","1","2","1","0","0","16","2","6","28"
"480170060678","2","2","2","1","1","118","198","342","2","4","368"
"480170060681","2","2","2","1","2","0","0","4","2","5","4"
"480170060682","29","29","29","21","25","319","435","1015","38","108","1653"
"480170060683","17","12","16","15","10","323","374","765","23","67","527"
"480170060684","2","1","2","1","1","30","74","114","4","8","126"
"480170060685","15","6","14","13","1","585","1770","2655","19","55","3000"
"480170060686","4","4","4","3","1","0","0","0","5","11","4"
"480170060687","6","2","6","4","1","1494","426","1974","7","18","2004"
"480170060689","3","2","2","3","2","0","0","0","7","17","0"
"480170060690","2","1","2","2","1","0","0","0","2","8","0"
"480170060691","3","2","3","3","2","0","0","0","4","10","0"
"480170060692","4","4","4","2","3","36","72","112","8","15","196"
"480170060693","16","14","10","15","14","176","272","464","28","72","544"
"480170060694","13","11","13","10","9","273","1404","1833","20","49","1352"
"480170060695","2","2","2","2","1","2","4","6","2","6","4"
"480170060699","3","2","3","1","2","21","105","147","1","10","207"
"480170060700","18","13","17","16","13","54","18","144","32","81","234"
"480170060701","11","9","9","10","7","22","66","110","25","59","187"
"480170060702","8","5","8","6","4","56","128","208","13","36","248"
"480170060703","6","5","5","6","5","60","12","78","11","25","84"
"480170060704","3","1","3","3","1","18","69","93","4","10","93"
"480170060705","8","6","7","7","3","0","0","0","10","25","0"
"480170060706","11","9","11","11","5","253","209","462","15","44","495"
"480170060707","11","8","11","10","8","55","154","231","16","47","330"
"480170060709","10","9","9","10","7","20","70","140","13","36","120"
"480170060710","8","5","8","4","1","528","728","1352","8","22","1400"
"480170060711","20","18","20","11","13","40","40","140","27","76","780"
"480170060712","1","1","1","1","0","3","4","8","0","2","8"
"480170060713","12","9","11","10","8","48","36","108","15","44","108"
"480170060714","3","2","2","2","2","24","24","48","5","9","48"
"480170060715","13","12","10","8","9","65","546","689","16","47","728"
"480170060717","6","3","6","4","3","138","498","684","5","16","534"
"480170060718","3","3","2","3","2","9","0","9","5","16","93"
"480170060719","2","1","2","2","0","108","390","522","2","4","472"
"480170060720","6","3","6","4","2","6","0","6","8","18","6"
"480170060721","9","8","9","9","6","0","0","0","14","35","0"
