host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates
"137252010","1","2","1","1","0","1","3"
"137624188","2","4","2","2","0","3","10"
"13763580","3","0","3","1","0","9","8"
"137685678","4","16","4","0","4","4","9"
"13773417","2","2","2","2","0","2","4"
"137812354","3","9","3","3","3","4","12"
"137941460","1","1","1","1","0","1","2"
"137946518","1","1","1","0","0","1","2"
"137946672","1","1","1","1","0","1","4"
"137969792","2","8","2","0","2","2","7"
"138012689","1","1","1","1","0","2","6"
"138014118","1","1","1","1","0","1","2"
"13802431","2","4","2","0","0","2","4"
"138025932","3","9","3","3","3","3","12"
"13807192","1","2","1","0","0","1","2"
"13810879","2","4","2","2","0","2","4"
"138163868","1","1","1","1","0","1","4"
"138214810","1","1","1","1","0","2","6"
"138332187","1","1","1","0","0","1","2"
"13844951","2","4","0","2","0","3","8"
"1384542","2","0","2","2","0","2","7"
"138468785","1","1","1","1","0","2","4"
"138704694","1","1","1","0","0","1","2"
"138867856","1","2","1","1","0","1","2"
"138902733","1","2","1","1","0","1","4"
"138908267","1","1","1","1","0","2","4"
"138967973","1","6","1","1","1","1","3"
"1390015","1","1","1","0","0","1","2"
"139018686","1","2","1","1","0","1","2"
"13912278","1","1","0","1","0","1","2"
"13919811","1","1","1","1","0","1","5"
"13920341","1","1","1","0","0","1","2"
"139218967","2","4","2","0","0","2","3"
"139230328","1","1","1","1","0","2","6"
"13925330","2","4","2","2","0","4","8"
"139362869","1","2","1","1","0","3","6"
"139409780","5","10","5","1","0","5","12"
"139567818","6","12","6","2","0","10","21"
"139631777","1","1","1","0","0","1","2"
"139793807","1","1","1","1","0","2","4"
"139853076","1","1","1","0","0","1","1"
