SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060930,12.5,,3.5,
480170060931,49.8,,2.0,
480170060932,2.0,,1.0,
480170060933,3.5,,,
480170060934,10.227272727272727,,7.0,
480170060935,1.6,,8.0,
480170060936,9.0,,,
480170060937,9.916666666666666,,1.0,
480170060938,3.5,,,
480170060940,2.0,,,
480170060943,15.444444444444445,6.333333333333333,3.8333333333333335,
480170060944,2.0,,1.0,
480170060945,3.0,,4.0,
480170060947,39.148148148148145,,10.333333333333334,
480170060948,80.9090909090909,3.0,,
480170060949,1.0,,3.0,
480170060950,1.0,,1.6666666666666667,
480170060952,1.0,,,
480170060953,0.3333333333333333,,,
480170060954,1.0,,,
480170060955,8.0,,2.0,
480170060957,0.75,,7.25,
480170060958,1.0,,3.0,
480170060960,1.3333333333333333,,,
480170060961,15.407407407407407,,3.0,
480170060963,1.0,,7.0,
480170060964,1.3333333333333333,,,
480170060966,39.77777777777778,,5.333333333333333,
480170060967,1.75,,10.0,
480170060969,18.4,,6.2727272727272725,
480170060971,70.25,,6.25,
480170060973,7.454545454545454,,,
480170060974,2.0,,1.0,
480170060975,,,2.0,
480170060976,64.0,,,
480170060977,1.0,,,
480170060979,,,1.0,2.0
480170060983,0.5,,,
480170060984,5.217391304347826,6.0,9.5,
480170060985,4.666666666666667,,,
480170060986,0.6,,1.6666666666666667,
480170060988,3.0,,,
480170060990,0.0,,,
480170060991,2.0,,,
480170060992,11.0625,,0.8571428571428571,
480170060994,1.0,,6.0,
480170060995,28.35135135135135,6.0,2.8666666666666667,
480170060996,26.333333333333332,,,
480170060998,,,1.0,
480170060999,13.0,,1.0,
480170061000,,,3.0,
480170061001,1.0,,6.0,
480170061002,30.727272727272727,,1.0,
480170061003,16.0,3.0,,
480170061004,20.0,6.0,1.0,
480170061005,23.0,,2.5,
480170061006,,,4.0,
480170061007,1.0,,,
480170061009,2.0,,2.0,
480170061010,19.25,,2.533333333333333,
480170061011,18.354430379746834,11.0,2.8461538461538463,
480170061013,1.0,,,
480170061014,1.75,,,
480170061017,18.612903225806452,,4.2727272727272725,
480170061018,,,1.0,
480170061019,1.0,,,
480170061021,,,4.0,
480170061023,17.25,,,1.0
480170061025,81.6923076923077,6.0,6.769230769230769,
480170061026,7.0,,,
480170061035,2.0,,3.3333333333333335,
480170061036,2.0,,,
480170061037,28.0,,1.0,
480170061039,,,1.0,
480170061040,1.0,,,
480170061043,1.5,,1.0,
480170061044,22.571428571428573,,4.2,
480170061045,18.945205479452056,9.0,2.4444444444444446,
480170061049,1.5,,,
480170061050,42.05882352941177,,2.7777777777777777,
480170061051,1.0,,2.0,
480170061053,11.666666666666666,,20.0,
480170061055,4.363636363636363,,3.0,
480170061057,1.0,,,
480170061058,16.642857142857142,,9.166666666666666,
480170061061,1.0,,,
480170061064,44.130434782608695,3.0,40.0,
480170061065,,,1.0,
480170061066,18.73913043478261,,4.0,
480170061068,81.66666666666667,,2.0,
480170061069,9.208333333333334,,9.0,
