census_tract_id,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
"480170060497","2","1","0","0","244","18","88","120","68","128","3","2","4"
"480170060499","19","16","17","11","2755","608","855","1691","399","1729","403","29","70"
"480170060501","5","5","5","3","185","30","55","95","35","105","40","7","24"
"480170060502","1","1","1","0","170","9","54","72","15","69","1","1","4"
"480170060504","1","1","0","0","357","23","137","179","33","193","2","0","2"
"480170060505","3","3","2","0","522","12","216","255","27","252","5","3","8"
"480170060506","9","6","8","7","819","162","207","405","81","468","295","12","37"
"480170060507","2","2","1","0","376","78","106","188","30","184","4","2","5"
"480170060509","26","23","25","9","2600","546","520","1404","208","1794","165","40","112"
"480170060510","49","46","47","22","25774","4802","7693","14651","3136","18032","637","65","174"
"480170060512","4","4","2","1","1068","44","392","480","236","456","8","4","9"
"480170060513","13","13","12","7","1222","221","416","650","182","845","263","21","67"
"480170060514","1","1","1","0","123","4","40","52","17","51","1","2","6"
"480170060515","3","2","3","0","885","87","330","459","87","450","3","3","7"
"480170060516","3","3","3","0","1581","222","489","765","60","648","4","4","10"
"480170060517","3","3","3","3","240","0","3","36","3","33","136","4","16"
"480170060518","1","1","1","1","16","8","0","8","3","10","6","2","5"
"480170060521","10","9","8","4","930","60","430","510","120","640","70","14","34"
"480170060522","34","30","32","16","10132","1428","3434","6426","1870","8602","672","41","122"
"480170060523","6","6","5","4","462","72","192","306","66","342","133","9","27"
"480170060524","17","17","17","16","238","34","102","170","68","289","395","20","55"
"480170060525","2","2","2","0","396","58","146","218","20","262","2","5","10"
"480170060526","54","47","43","23","10746","972","3672","5670","1404","7128","941","83","214"
"480170060527","2","2","1","0","426","66","104","188","24","188","2","4","8"
"480170060528","1","1","1","1","262","25","87","123","41","116","5","2","6"
"480170060529","19","18","17","9","38","0","19","38","19","57","388","38","101"
"480170060530","7","7","5","1","1456","119","630","805","63","1113","13","13","33"
"480170060531","6","6","5","1","3150","234","1170","1524","90","1710","6","10","23"
"480170060533","29","28","24","11","2842","1015","319","1450","203","1740","256","42","123"
"480170060534","3","3","2","1","945","48","342","453","45","387","3","5","12"
"480170060535","9","8","9","8","225","36","90","135","90","225","165","11","38"
"480170060536","9","8","8","1","5121","396","1881","2664","360","2502","14","11","31"
"480170060538","8","7","8","6","288","24","104","168","24","184","72","13","32"
"480170060539","4","4","4","4","248","96","28","128","20","128","194","7","20"
"480170060540","1","1","1","0","261","37","76","119","9","116","1","0","2"
"480170060541","1","1","1","0","215","25","69","101","19","106","1","1","4"
"480170060542","20","19","19","8","3160","540","720","1500","280","2100","109","34","77"
"480170060543","1","1","1","0","324","28","102","151","70","162","1","1","4"
"480170060544","7","6","7","2","14","7","7","14","14","14","27","8","23"
